,location,industry,experience,skills,salary
365,Магадан,"['Строительство, недвижимость', 'Производство, сельское хозяйство']",1–3 года,Монтаж оборудования Электрические системы и слаботочные системы Схемотехника электронного оборудования Монтаж инженерных систем Информационные технологии,от 68 000 до 68 000 руб. до вычета налогов
366,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,B2C продажи Активные продажи Работа в команде Розничная торговля Обслуживание покупателей Работа с кассой Прямые продажи Консультирование Пользователь ПК Консультирование клиентов Собственная розница Современная розница Торговля Работа с клиентами,от 58 000 до 70 000 руб. до вычета налогов
367,Самара,['Продажи'],не требуется,,от 45 000 руб. до вычета налогов
368,Екатеринбург,"['Строительство, недвижимость', 'Безопасность', 'Производство, сельское хозяйство']",1–3 года,Пожарная безопасность Охрана труда и техника безопасности Ведение отчетности Внутренний контроль,от 45 000 до 45 000 руб. на руки
369,Казань,"['Информационные технологии, интернет, телеком']",не требуется,,от 15 000 руб. до вычета налогов
370,Саратов,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Обучение персонала Мерчандайзинг Блочная выкладка товара Linux Организаторские навыки,от 30 000 до 45 000 руб. до вычета налогов
371,Новосибирск,"['Управление персоналом, тренинги']",1–3 года,,от 29 000 руб. до вычета налогов
372,Волгоград,"['Строительство, недвижимость']",1–3 года,Техническая эксплуатация ВОЛС Радиорелейное оборудование Аварийно-восстановительные работы,от 44 000 руб. до вычета налогов
373,Челябинск,['Продажи'],3–6 лет,,до 150 000 руб. на руки
374,Тула,['Продажи'],не требуется,,от 40 000 руб. до вычета налогов
375,Москва,['Продажи'],1–3 года,Ведение переговоров Мобильность Заключение договоров Работа в команде Активные продажи,от 70 000 до 150 000 руб. на руки
376,Новосибирск,['Продажи'],1–3 года,,от 80 000 руб. до вычета налогов
377,Ростов-на-Дону,"['Информационные технологии, интернет, телеком']",1–3 года,SQL MS SQL 1С: Предприятие 8 ООП 1С программирование Создание конфигурации 1С,от 100 000 руб. на руки
378,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Активные продажи Работа в команде Консультирование Работа с кассой Обслуживание покупателей Грамотная речь Клиентоориентированность Розничная торговля Контроль сроков годности,от 45 000 до 55 000 руб. до вычета налогов
379,Москва,['Продажи'],не требуется,Заключение договоров Проведение презентаций Активные продажи B2B Продажи Телефонные переговоры исходящие звонки Телемаркетинг,от 40 000 до 90 000 руб. до вычета налогов
380,Екатеринбург,['Продажи'],1–3 года,,от 45 000 руб. до вычета налогов
381,Екатеринбург,"['Административный персонал', 'Продажи']",не требуется,,от 30 000 руб. до вычета налогов
382,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Пользователь ПК Грамотная речь Умение работать в команде Поиск информации в интернет Грамотность,от 50 000 до 99 000 руб. до вычета налогов
383,Аксай,"['Продажи', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR', 'Производство, сельское хозяйство', 'Рабочий персонал']",3–6 лет,Работа в команде Грамотная речь Умение работать в команде Уверенный пользователь ПК Конструирование Шитье Работа в условиях многозадачности,от 40 000 руб. на руки
384,Воронеж,['Продажи'],не требуется,,от 40 000 руб. до вычета налогов
385,Калининград,"['Продажи', 'Начало карьеры, студенты']",не требуется,Грамотная речь Работа в команде Деловое общение Деловая коммуникация Грамотность Навыки межличностного общения Обучение и развитие,от 25 000 руб. на руки
386,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Деловая переписка 1С: Предприятие 8 Документооборот Отчет агента,от 50 000 до 55 000 руб. на руки
387,Краснодар,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,,от 100 000 до 300 000 руб. на руки
388,Ставрополь,"['Административный персонал', 'Продажи']",не требуется,,от 36 900 руб. до вычета налогов
389,Белгород,"['Добыча сырья', 'Строительство, недвижимость', 'Транспорт, логистика', 'Рабочий персонал']",1–3 года,,от 44 500 до 110 000 руб. до вычета налогов
390,Санкт-Петербург,"['Безопасность', 'Банки, инвестиции, лизинг']",1–3 года,,от 63 000 руб. до вычета налогов
391,Москва,"['Информационные технологии, интернет, телеком']",3–6 лет,SQL PostgreSQL MySQL MS SQL Базы данных Cистемы управления базами данных Оптимизация запросов SQL запросы,от 200 000 до 350 000 руб. на руки
392,Волгоград,['Продажи'],не требуется,,от 36 000 до 65 000 руб. на руки
393,Истра,"['Производство, сельское хозяйство', 'Строительство, недвижимость']",3–6 лет,Проектная документация Сопровождение строительства Авторский надзор Инженерные системы Рабочая документация Знание нормативной документации РД,от 120 000 руб. на руки
394,Уфа,['Продажи'],1–3 года,,от 39 000 руб. до вычета налогов
395,Калининград,['Продажи'],не требуется,Продажа страховых продуктов Кредитные договоры Активные продажи Холодные продажи Прямые продажи,от 48 000 руб. до вычета налогов
396,деревня Лапшинка,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 45 000 руб. на руки
397,Волоколамск,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,выкладка товара,от 40 000 до 45 000 руб. до вычета налогов
398,Нижний Новгород,['Продажи'],1–3 года,,от 45 000 руб. до вычета налогов
399,Сочи,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа в команде Клиентоориентированность Умение работать в команде Управление отношениями с клиентами,от 50 000 руб. до вычета налогов
400,Мурманск,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Работа с кассой Работа в команде Грамотная речь 1С: Торговля Клиентоориентированность Обучение и развитие Работа с жалобами клиентов Консультирование,от 55 000 до 70 000 руб. на руки
401,Подольск,"['Производство, сельское хозяйство', 'Высший менеджмент']",более 6 лет,Пользователь ПК Управление производством Управление производственным персоналом Технический контроль производства,от 100 000 руб. на руки
402,Омск,"['Административный персонал', 'Продажи']",не требуется,,от 25 000 руб. до вычета налогов
403,Волгоград,"['Административный персонал', 'Продажи']",не требуется,,от 25 000 руб. до вычета налогов
404,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 50 000 руб. на руки
405,Москва,"['Бухгалтерия, управленческий учет, финансы предприятия', 'Продажи', 'Банки, инвестиции, лизинг']",не требуется,Активные продажи Работа с кассой Работа в команде Консультирование клиентов Обслуживание покупателей Грамотная речь Клиентоориентированность Розничная торговля,от 35 000 до 45 000 руб. до вычета налогов
406,Челябинск,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа с кассой Активные продажи Консультативные продажи Работа в команде Прямые продажи Консультирование Розничная торговля Клиентоориентированность Торговля Федеральные бренды Федеральные сети Консультирование клиентов Обслуживание покупателей,от 44 000 до 53 000 руб. до вычета налогов
407,посёлок Западный,"['Туризм, гостиницы, рестораны']",1–3 года,,от 28 000 до 47 600 руб. на руки
408,Всеволожский район,"['Транспорт, логистика']",не требуется,Мобильность Работа в команде Android Водительское удостоверение категории B Деловое общение,от 130 000 руб. на руки
409,Казань,"['Медицина, фармацевтика']",не требуется,Грамотная речь Работа в команде Умение работать в команде Деловое общение,от 42 000 до 63 000 руб. до вычета налогов
410,Ярославль,"['Продажи', 'Начало карьеры, студенты']",не требуется,Пользователь ПК Грамотная речь Работа в команде,от 22 000 руб. до вычета налогов
411,Самара,"['Информационные технологии, интернет, телеком', 'Начало карьеры, студенты', 'Административный персонал', 'Продажи']",не требуется,,от 33 000 руб. до вычета налогов
412,Новосибирск,"['Административный персонал', 'Продажи']",не требуется,,от 30 000 руб. до вычета налогов
413,посёлок Плодовое,"['Медицина, фармацевтика']",не требуется,Грамотная речь Работа в команде Умение работать в команде Деловое общение,от 60 000 до 90 000 руб. до вычета налогов
414,Калуга,['Продажи'],не требуется,,от 33 000 руб. до вычета налогов
415,Гурьевский городской округ,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Работа в команде Грамотная речь Консультирование клиентов Розничная торговля,от 36 000 руб. до вычета налогов
416,Казань,['Продажи'],1–3 года,,от 42 000 руб. до вычета налогов
417,Воронеж,['Продажи'],1–3 года,,от 42 000 руб. до вычета налогов
418,Пермь,['Продажи'],не требуется,,от 40 000 руб. до вычета налогов
419,Екатеринбург,['Продажи'],1–3 года,Холодные продажи Активные продажи Ведение переговоров Телефонные переговоры B2B Продажи,от 45 000 руб. на руки
420,Иркутск,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 45 700 руб. до вычета налогов
421,Самара,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
